"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, c3, c4, function evaluation]",total_time,gBest_fitness
"['f25', 20, -1, 1, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",26.23,-1.2584979571719501
"['f25', 30, -1, 1, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",31.93,-1.8744851969951597
"['f25', 50, -1, 1, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",92.34,-3.000842731611166
