epoch,gBest_fitness
1,-14132.418320501443
2,-17790.187039280827
3,-19154.024444786097
4,-34935.08858982468
5,-34935.08858982468
6,-34935.08858982468
7,-35128.18353992828
8,-35128.18353992828
9,-35128.18353992828
10,-35232.20142231599
11,-35232.20142231599
12,-35232.20142231599
13,-35232.20142231599
14,-35335.403209142496
15,-35335.403209142496
16,-39871.844131162514
17,-39871.844131162514
18,-39871.844131162514
19,-41056.112057386556
20,-41097.394135523355
21,-41120.90856555752
22,-41120.90856555752
23,-41134.9049314128
24,-41134.9049314128
25,-41134.9049314128
26,-41134.9049314128
27,-41134.9049314128
28,-41579.53719191919
29,-41579.53719191919
30,-41579.53719191919
31,-41827.36156416676
32,-41827.36156416676
33,-41827.36156416676
34,-41840.52816237312
35,-41840.52816237312
36,-41840.52816237312
37,-41840.52816237312
38,-41841.903634022645
39,-41848.53906357016
40,-41848.53906357016
41,-41848.53906357016
42,-41848.53906357016
43,-41848.53906357016
44,-41850.23527068761
45,-41850.23527068761
46,-41850.23527068761
47,-41850.23527068761
48,-41850.23527068761
49,-41850.23527068761
50,-41850.23527068761
51,-41850.516807791886
52,-41850.516807791886
53,-41850.516807791886
54,-41850.516807791886
55,-41850.516807791886
56,-41850.516807791886
57,-41850.516807791886
58,-41850.516807791886
59,-41850.516807791886
60,-41850.516807791886
61,-41850.69757397703
62,-41850.69757397703
63,-41850.69757397703
64,-41850.69757397703
65,-41850.69757397703
66,-41850.69757397703
67,-41850.69757397703
68,-41850.69757397703
69,-41850.69757397703
70,-41850.69757397703
71,-41850.69757397703
72,-41850.69757397703
73,-41850.69757397703
74,-41850.69757397703
75,-41850.69757397703
76,-41850.69757397703
77,-41850.69757397703
78,-41850.69757397703
79,-41850.69757397703
80,-41850.69757397703
81,-41850.69757397703
82,-41850.69757397703
83,-41850.69757397703
84,-41850.69757397703
85,-41850.69757397703
86,-41850.69757397703
87,-41850.69757397703
88,-41850.69757397703
89,-41850.69757397703
90,-41850.69757397703
91,-41850.69757397703
92,-41850.69757397703
93,-41850.69757397703
94,-41850.69757397703
95,-41850.69757397703
96,-41850.69757397703
97,-41850.69757397703
98,-41850.69757397703
99,-41850.69757397703
100,-41850.69757397703
101,-41850.69757397703
102,-41850.69757397703
103,-41850.69757397703
104,-41850.69757397703
105,-41850.69757397703
