"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, c3, c4, function evaluation]",total_time,gBest_fitness
"['f23', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",19.57,-68.43390481920164
"['f23', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",11.98,-64.17920821463335
"['f23', 30, -5, 5, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",25.14,-62.25703398818585
"['f23', 50, -5, 5, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",53.22,-66.27047776777245
