"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",8.15,5.829949928029753e-105
"['f2', 30, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",7.68,1.0767969040826627e-104
"['f2', 50, -10, 10, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",12.29,2.0929138142969746e-125
"['f2', 100, -10, 10, 25, 10, 20, 600, 5, 2.05, 2.05, 100000]",15.59,3.4637874716642914e-169
