"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.5617935752565207e+19,10.395142934
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.1524272252524882e+19,10.712627858999998
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",6.7813301214103e-129,10.480405416000004
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.448733332906113e-144,9.994029321
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.301659201495741e-108,9.488893036
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.4322408288347595e-98,9.881362274000004
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.313323080557819e+19,9.983616323999996
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.4962504162260633e-134,12.790871832000008
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.331110441044277e-95,11.725506479000003
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.54626841009681e-114,9.203847023999998
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",6.22021773981153e-119,9.490776425999996
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.330262630631847e-100,11.895679213000008
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.317338629450005e-109,12.753382708000004
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.335987007988129e-103,11.436080664000002
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",6.097424811590932e-93,12.98123747599999
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",6.039615794226019e-115,10.706725294999984
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.5463641012817e+19,11.522610713999995
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.656734129183885e+19,11.200402617000009
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.2255846422022013e-109,10.707430223999978
"['f8', 20, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",6.718096510125628e-114,10.929183685999988
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.044738683797415e-111,12.394979180999826
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",9.584529037111642e-132,12.330030908000026
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.1171250635490411e-116,12.038314419000017
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.3403240217649163e-117,11.728650439000148
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.115355969678786e-105,12.164427856999964
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.652956571190881e-119,12.914023255999837
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.102929950969405e-109,12.999381845000016
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.321060548735741e+19,12.98688811399984
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.6053294820280325e-98,11.75813340500008
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.874767504913349e-126,17.059519238999883
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.6074390724636437e-88,15.292867890000025
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.0648047915701407e-128,19.371454298000117
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.508122068305138e+19,19.760091905999843
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.1837035381427398e-129,18.430588181000076
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.5051087950870653e-102,19.826322677000007
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.4423453631458466e-137,19.091717888000176
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.202598407229742e-106,18.67201716799991
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",5.423335172980991e-120,19.163373959999944
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.950062006042153e+19,19.361076755999875
"['f8', 30, -100, 100, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.144301710372404e-136,19.097759945999996
"['f8', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",1.7603690512300212e-138,20.58896651399982
"['f8', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",2.1491648527213787e-148,20.666278356999555
"['f8', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",1.326750090190182e-162,21.409438877999946
"['f8', 50, -100, 100, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",6.570333615620371e-128,21.139093761999902
