"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f11', 20, -100, 100, 100, 400, 40000]",10.0,1.2516327539364315e-39
"['f11', 30, -100, 100, 100, 400, 40000]",12.28,4.349273233618798e-31
"['f11', 50, -100, 100, 150, 400, 60000]",22.7,1.3139653981018412e-26
