"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",total_time,gBest_fitness
"['f3', 20, -100, 100, 100, 400, 40000]",14.27,-21000.0
"['f3', 30, -100, 100, 100, 400, 40000]",21.19,-46500.0
"['f3', 50, -1, 1, 150, 400, 60000]",66.89,-1275.0
"['f3', 50, -100, 100, 150, 400, 60000]",66.51,-127500.0
"['f3', 100, -100, 100, 200, 500, 100000]",164.9,-505000.0
