"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",gBest_fitness,total_time
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,16.601960835
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,13.142317965000004
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,13.984797117000006
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,14.298411690999991
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,15.820360862000001
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,16.176240917
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,14.650775959
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,14.41646205299999
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,14.660665974000011
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,14.307901888000004
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,14.331241559000006
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,14.774498886000003
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,14.821750194999993
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,15.965408972999995
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,15.33487771099999
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,15.275639323999997
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,15.957599226000013
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,15.482153512000025
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,15.086268792999988
"['f3', 20, -100, 100, 100, 400, 40000]",-21000.0,14.431459195000002
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,20.97444150300001
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,21.41526773100003
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,21.36588343699998
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,21.298079986999994
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,21.37669391899999
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,21.600832759000014
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,20.914727253000024
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,21.65872706700003
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,21.809764052000048
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,25.00519810100002
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,23.84540710799996
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,32.86899684000002
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,24.775299922000045
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,22.288939221999954
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,22.062622610000062
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,21.79213520099995
"['f3', 30, -100, 100, 100, 400, 40000]",-46500.0,22.588094565999995
