"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.395847397000004
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.357647745
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,24.567363277
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.810055633999994
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.050483443999994
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.261434820000005
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.772665415000006
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.94947643399999
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,25.04001772800001
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,25.711754044000003
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,27.333618539999975
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,26.069039293999992
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,25.752427249999982
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,28.52793058000003
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,29.779474918000005
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,27.098600636000015
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,23.213092758000016
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,22.770398068999953
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,22.177155319999997
"['f15', 20, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.540635649999956
"['f15', 30, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,47.748734648
"['f15', 30, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,48.81597312800001
"['f15', 30, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,34.493530365
"['f15', 30, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,26.067696146999992
"['f15', 30, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,24.846856156
"['f15', 30, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,23.065837482999996
"['f15', 30, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,23.19150958200001
"['f15', 30, -5.12, 5.12, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,23.944982797000023
