"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.125524839565e-312,15.289909143000045
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.07453e-319,15.461984861000019
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.51270110400003
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,21.171464560999993
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,21.40297087700003
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.955673848000004
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.083445806000043
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.82271405099999
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,19.276848574999974
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.54902809699996
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.17044391257215e-310,18.275412588999984
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.622411270999976
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.977005097000017
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.9462934e-316,18.348867143000007
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.814408379000042
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,24.588328764999915
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,20.07033298700003
"['f13', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",0.0,18.107149839000044
