"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, function evaluation]",gBest_fitness,total_time
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.685981491263316e-160,8.940555872999997
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.667258222893731e-154,8.909289355000002
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",3.70920770605894e-173,8.747538460000001
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",6.93672114927704e-154,8.926524918999995
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",5.5206661941460616e-182,9.198901316999994
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",7.161218568823228e-176,8.920618155
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.529476708841257e-161,8.520440873000013
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.3537309286536419e-184,11.282069535999995
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.9846562117724662e-171,9.907821644999999
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.1107580670959665e-172,12.001638460999999
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.530007616858977e-171,10.029340673999997
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",5.1452136724147715e-170,9.132611296999983
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",2.854962256092007e-156,9.96747197900001
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",4.624323448617889e-161,9.052413020000017
"['f2', 20, -10, 10, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",1.8070157513465565e-166,9.134181178000006
