"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1 ,c2, function evaluation]",total_time,gBest_fitness
"['f14', 20, -500, 500, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",20.75,-8379.17055776125
"['f14', 30, -500, 500, 20, 10, 10, 300, 5, 2.05, 2.05, 40000]",56.9,-12569.28370308237
"['f14', 50, -500, 500, 25, 8, 10, 400, 5, 2.05, 2.05, 60000]",79.67,-20948.577834292726
"['f14', 100, -500, 500, 25, 10, 20, 600, 5, 2.05, 2.05, 100000]",123.22,-41808.631708276516
