"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",gBest_fitness,total_time
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2541605423749274,15.724378404000001
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2565225859372824,17.503217438999997
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2602415523280426,16.121241442
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2574117141898074,18.065179673000003
"['f25', 20, -1, 1, 100, 400, 40000]",-1.260219210395842,18.17543848199999
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2590627696325374,16.08266063299999
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2591932559930477,16.505069105000004
"['f25', 20, -1, 1, 100, 400, 40000]",-1.25173983142564,15.993228286000004
"['f25', 20, -1, 1, 100, 400, 40000]",-1.256902348424867,15.061456747000022
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2601618546111735,13.701132507000011
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2602403704863656,14.332296388000003
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2602272745863896,13.306241967000005
"['f25', 20, -1, 1, 100, 400, 40000]",-1.260226533238258,13.382819486999978
"['f25', 20, -1, 1, 100, 400, 40000]",-1.259941330723107,13.457074610000006
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2597730414027026,13.447949241000003
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2602424984389822,13.785300038000003
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2598105864514757,13.462157010999988
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2596708112244759,13.154456199000037
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2601362284143085,13.453233184999988
"['f25', 20, -1, 1, 100, 400, 40000]",-1.2584233335004313,13.913643965999995
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8903642464015262,15.970792754999998
"['f25', 30, -1, 1, 100, 400, 40000]",-1.890060420445614,21.521936575
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8720501752674574,26.679763934
"['f25', 30, -1, 1, 100, 400, 40000]",-1.889969431694511,25.715921109000007
"['f25', 30, -1, 1, 100, 400, 40000]",-1.88923761864305,19.518753892999996
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8901495747892034,19.350334853000007
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8901522153071022,18.36800709100001
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8888485744052155,18.570336486000002
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8884138128443528,17.682236555000003
"['f25', 30, -1, 1, 100, 400, 40000]",-1.880945036758241,17.963450937999994
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8875773017310522,17.427414362000007
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8863573665071753,18.331495818000008
"['f25', 30, -1, 1, 100, 400, 40000]",-1.888011643233354,17.890904256
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8894033616292905,17.49956309199996
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8902977880144236,18.015828501999977
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8223280046103911,18.18986552199999
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8903651407429765,17.962882702
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8902160275374444,17.360338702999968
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8903262629595574,18.05434959600001
"['f25', 30, -1, 1, 100, 400, 40000]",-1.8882594453744985,17.99898202600002
"['f25', 50, -1, 1, 150, 400, 60000]",-3.150481611262709,44.144088921
"['f25', 50, -1, 1, 150, 400, 60000]",-3.1501757575405405,35.412963062
"['f25', 50, -1, 1, 150, 400, 60000]",-3.15058142939567,35.87835314200001
"['f25', 50, -1, 1, 150, 400, 60000]",-3.150513889855277,35.51755070600001
"['f25', 50, -1, 1, 150, 400, 60000]",-3.1481407827462196,35.49320799200001
"['f25', 50, -1, 1, 150, 400, 60000]",-3.149703828561533,37.90243693100001
"['f25', 50, -1, 1, 150, 400, 60000]",-3.145888830217199,37.04257572400002
"['f25', 50, -1, 1, 150, 400, 60000]",-3.150578510086759,36.97495748700004
"['f25', 50, -1, 1, 150, 400, 60000]",-3.1504716998142914,35.083620756000016
"['f25', 50, -1, 1, 150, 400, 60000]",-3.1494356670763617,35.984932877999995
"['f25', 50, -1, 1, 150, 400, 60000]",-3.148355803589173,35.00124797299998
"['f25', 50, -1, 1, 150, 400, 60000]",-3.1464580708327574,36.681441585000016
"['f25', 50, -1, 1, 150, 400, 60000]",-3.141689753810918,35.08688881399996
"['f25', 50, -1, 1, 150, 400, 60000]",-3.1503802212502388,35.231573495999896
"['f25', 50, -1, 1, 150, 400, 60000]",-3.149788097574179,35.88259811800003
"['f25', 50, -1, 1, 150, 400, 60000]",-3.150446695009352,34.84658510099996
"['f25', 50, -1, 1, 150, 400, 60000]",-3.1454664091696913,35.56492144699996
"['f25', 50, -1, 1, 150, 400, 60000]",-3.149777076941308,34.65720290699994
"['f25', 50, -1, 1, 150, 400, 60000]",-3.1504109466248433,35.47206288899997
"['f25', 50, -1, 1, 150, 400, 60000]",-3.1506026882703755,35.126411085000086
"['f25', 100, -1, 1, 200, 500, 100000]",-6.300814312202322,55.469184999998106
"['f25', 100, -1, 1, 200, 500, 100000]",-6.2865281401822966,55.74116800000047
"['f25', 100, -1, 1, 200, 500, 100000]",-6.29998235511559,55.373539000000164
"['f25', 100, -1, 1, 200, 500, 100000]",-6.30115121665674,56.16701699999976
"['f25', 100, -1, 1, 200, 500, 100000]",-6.298755978784432,57.29162200000064
"['f25', 100, -1, 1, 200, 500, 100000]",-6.301020773720217,55.370976000001974
"['f25', 100, -1, 1, 200, 500, 100000]",-6.2970810055105515,55.57758399999875
"['f25', 100, -1, 1, 200, 500, 100000]",-6.299469974970006,55.78441400000156
"['f25', 100, -1, 1, 200, 500, 100000]",-6.301193810482243,55.840148999999656
"['f25', 100, -1, 1, 200, 500, 100000]",-6.301160721723786,56.33112799999799
"['f25', 100, -1, 1, 200, 500, 100000]",-6.3011157133951325,56.00803100000121
"['f25', 100, -1, 1, 200, 500, 100000]",-6.301218436448309,56.04390599999897
"['f25', 100, -1, 1, 200, 500, 100000]",-6.3012020268051385,55.34962799999994
"['f25', 100, -1, 1, 200, 500, 100000]",-6.301185741299302,55.70402000000104
"['f25', 100, -1, 1, 200, 500, 100000]",-6.299309153872357,55.874831000000995
"['f25', 100, -1, 1, 200, 500, 100000]",-6.2940510067681865,55.24728999999934
"['f25', 100, -1, 1, 200, 500, 100000]",-6.292482717968955,55.384117000001424
"['f25', 100, -1, 1, 200, 500, 100000]",-6.301100668336328,55.44166200000109
"['f25', 100, -1, 1, 200, 500, 100000]",-6.301062770547556,55.70859900000141
"['f25', 100, -1, 1, 200, 500, 100000]",-6.2946814735003205,55.67898799999966
