"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, c3, c4, function evaluation]",gBest_fitness,total_time
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.760447007187425,14.064893221999998
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",3.1212681121469226,13.625324297999999
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.7949422230795173,13.570988231000001
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.4426895467281848,12.782083766
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.909531014967102,13.200250061000006
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.2836189510168285,13.855607833000008
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",0.5713965476715734,12.709011302000008
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.528631265524568,13.014093003
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.4691071006742948,12.516200562999998
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.6188795497083508,13.019768366999983
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.1949661930388444,12.692569309999982
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.5253820672105185,12.658254003999986
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.3540909379758514,12.58125147299998
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.61785107165913,10.133761299000014
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.0068477160339184,10.908457528000014
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.4777612924841605,7.871705991999988
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.0506823359481032,6.304811579000017
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.0476368218974255,5.336077163999988
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.9440222256287139,4.978720535999997
"['f7', 20, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.868510476651402,5.038112877000003
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.5228777177823374,15.412192351000002
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.717917572588312,16.208231494000003
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.3039051066526435,15.864716406000007
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.5968021881916399,15.828193937999998
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.984078861678805,16.69391572100001
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",3.4879872284746867,15.711530108999995
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.1479631035728164,15.702914192999998
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.1425220095980047,15.791209600999991
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.1868325595375473,16.922266414000006
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",0.6536660759719936,15.84301519799999
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.541574198884923,16.329715531999994
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",3.265848470826428,16.406099908000016
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.438283596468019,13.416744305000009
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.6145101456641,13.87409743500001
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.8940791262518262,10.590855035999994
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.4301560477228807,7.449987520000008
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.831820082557385,9.87740887999999
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.9717227345719528,6.693286836000027
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",2.2470316812179525,6.807115549000002
"['f7', 30, -1.28, 1.28, 20, 10, 10, 300, 5, 2.05, 2.05, 2.05, 2.05, 40000]",1.98927706659832,6.898956134999992
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",1.765004132825183,46.584932411
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",3.395011063148462,42.48814518500001
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",2.6014111565291156,44.11596403099999
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",1.9262836763389446,44.491887706
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",1.9833347661764964,44.131424439
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",2.520827456121368,44.791283314
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",2.723454220957759,44.19515179800004
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",3.4360149688147326,42.83009925499999
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",3.440538716078153,42.461298124999985
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",2.7751112901865675,44.869361201000004
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",2.4006592969685396,39.13484132099995
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",4.3323819317119225,35.539763702000016
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",4.1028646938946345,31.637318840000034
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",2.542223283530302,19.91957079100007
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",3.436489395491013,16.00789605600005
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",2.8314865485560263,16.91285179399995
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",3.2777713521512735,15.221743663999973
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",3.122211117364052,15.627358845000003
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",3.116751226720947,16.236345187999973
"['f7', 50, -1.28, 1.28, 25, 8, 10, 400, 5, 2.05, 2.05, 2.05, 2.05, 60000]",1.8408363519909514,16.844912117000035
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",2.867996570062897,51.65090099999907
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",4.043555582799163,50.138466000000335
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",3.634575543251616,50.992362999999386
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",2.319845374625347,50.525118999999904
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",2.540292981780799,51.70011799999884
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",4.024923889400463,49.54895800000122
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",2.3420559053832557,50.099223999999595
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",3.20825426189462,49.63368799999989
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",2.1385209549025452,50.538204000000405
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",2.8745150917700775,49.64444900000126
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",2.4427929199468963,49.42573700000139
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",3.7204927302521194,50.37136400000054
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",3.853471704976722,51.59557600000153
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",3.0476652528949093,50.43191400000069
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",3.379924814606442,49.73513400000047
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",3.41781980616196,50.340830999999525
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",3.438752808802284,49.22228499999983
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",2.6977023137360563,50.784310000000914
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",2.647652465344968,49.93801499999972
"['f7', 100, -1.28, 1.28, 25, 10, 20, 600, 5, 2.05, 2.05, 2.05, 2.05, 100000]",3.2349072394246132,51.20606500000031
