model,mean,std
GSO1(PSO+PSO),-2.99213e+00,4.89962e-02
GSO3(GSO+WOA),-3.14243e+00,1.38387e-02
GSO4(GSO+OMWOA),-3.14214e+00,1.14180e-02
IGSO(GSO+MWOA),-1.53529e+00,1.53800e-01
MWOA,-3.14897e+00,2.30970e-03
