model,mean,std
GSO1(PSO+PSO),1.15454e+00,3.95539e-01
GSO3(GSO+WOA),1.83732e-04,2.70669e-04
GSO4(GSO+OMWOA),3.54791e-04,2.94569e-04
IGSO(GSO+MWOA),1.85489e-03,2.62936e-03
MWOA,3.87131e-05,5.34345e-05
