model,mean,std
GSO1(PSO+PSO),-6.54478e+01,1.89993e+00
GSO3(GSO+WOA),-7.83312e+01,1.64591e-03
GSO4(GSO+OMWOA),-7.83317e+01,7.86348e-04
IGSO(GSO+MWOA),-7.82940e+01,6.19780e-02
MWOA,-7.83318e+01,6.88796e-04
