model,mean,std
GSO1(PSO+PSO),1.69568e+01,6.63558e+00
GSO3(GSO+WOA),3.79270e-01,1.39014e-01
GSO4(GSO+OMWOA),4.07012e-01,1.29410e-01
IGSO(GSO+MWOA),5.00000e-01,6.77696e-09
MWOA,3.10040e-01,1.29346e-01
