model,mean,std
GSO1(PSO+PSO),6.21388e+05,2.27101e+05
GSO3(GSO+WOA),1.33854e-20,4.56698e-20
GSO4(GSO+OMWOA),3.61359e+10,5.69500e+10
IGSO(GSO+MWOA),4.28395e+02,1.86733e+03
MWOA,4.95801e-24,2.10107e-23
