model,mean,std
GSO1(PSO+PSO),1.02593e+00,3.09253e-01
GSO3(GSO+WOA),2.71550e-30,1.06277e-29
GSO4(GSO+OMWOA),1.35776e-120,5.88468e-120
IGSO(GSO+MWOA),0.00000e+00,0.00000e+00
MWOA,3.27914e-33,1.41289e-32
