model,mean,std
GSO1(PSO+PSO),-4.93619e+03,4.39309e+02
GSO3(GSO+WOA),-2.09483e+04,1.05740e+00
GSO4(GSO+OMWOA),-2.09485e+04,7.71343e-01
IGSO(GSO+MWOA),-2.09153e+04,8.31156e+01
MWOA,-2.08767e+04,1.88916e+02
