model,mean,std
GSO1(PSO+PSO),3.74737e+02,2.54399e+02
GSO3(GSO+WOA),1.64337e-02,1.81959e-02
GSO4(GSO+OMWOA),1.85315e-02,2.10977e-02
IGSO(GSO+MWOA),4.37327e+01,1.42258e+01
MWOA,4.50779e-03,4.17290e-03
