model,mean,std
GSO1(PSO+PSO),9.97121e+00,3.96906e+00
GSO3(GSO+WOA),6.97355e-242,0.00000e+00
GSO4(GSO+OMWOA),0.00000e+00,0.00000e+00
IGSO(GSO+MWOA),0.00000e+00,0.00000e+00
MWOA,1.10271e-240,0.00000e+00
