"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",gBest_fitness,total_time
"['f4', 20, -100, 100, 100, 400, 40000]",3.010872162637001e-19,7.4616699520000225
"['f4', 20, -100, 100, 100, 400, 40000]",2.6962014810317705e-16,7.407252708999977
"['f4', 20, -100, 100, 100, 400, 40000]",1.8576894048218081e-34,7.5727974440000025
"['f4', 20, -100, 100, 100, 400, 40000]",2.181274142184752e-19,7.3936131749999845
"['f4', 20, -100, 100, 100, 400, 40000]",5.0531582386940095e-18,7.273707881000007
"['f4', 20, -100, 100, 100, 400, 40000]",2.174107512089425e-23,7.400258457999996
"['f4', 20, -100, 100, 100, 400, 40000]",4.1592663776894005e-22,7.347772658999986
"['f4', 20, -100, 100, 100, 400, 40000]",2.7807650681134237e-18,8.034455265999952
"['f4', 20, -100, 100, 100, 400, 40000]",1.422666122407301e-14,7.8004558020000445
"['f4', 20, -100, 100, 100, 400, 40000]",3.8408431186066686e-21,7.661602304999974
"['f4', 20, -100, 100, 100, 400, 40000]",1.3265186795240952e-17,7.473713478999969
"['f4', 20, -100, 100, 100, 400, 40000]",2.0280704578898786e-22,7.5786589530000015
"['f4', 20, -100, 100, 100, 400, 40000]",2.906852518833618e-23,7.6493362410000145
"['f4', 20, -100, 100, 100, 400, 40000]",7.061521006450819e-19,7.430533130000015
"['f4', 20, -100, 100, 100, 400, 40000]",1.1713410297895696e-17,7.394241127999976
"['f4', 20, -100, 100, 100, 400, 40000]",7.035257432776154e-19,7.735419820999994
"['f4', 20, -100, 100, 100, 400, 40000]",4.97511069093375e-18,7.455121707000046
"['f4', 20, -100, 100, 100, 400, 40000]",1.924387790731179e-17,7.463089142000001
"['f4', 20, -100, 100, 100, 400, 40000]",5.465656037354991e-19,7.40473530099996
"['f4', 20, -100, 100, 100, 400, 40000]",7.865117272516645e-21,7.550330655000039
"['f4', 30, -100, 100, 100, 400, 40000]",2.5452188569770918e-17,7.8414224570000215
"['f4', 30, -100, 100, 100, 400, 40000]",4.0339376198769554e-19,7.802421301999971
"['f4', 30, -100, 100, 100, 400, 40000]",6.784525596536204e-17,7.916103523999936
"['f4', 30, -100, 100, 100, 400, 40000]",5.855236503230115e-20,7.834115162999979
"['f4', 30, -100, 100, 100, 400, 40000]",5.998026680909508e-17,7.863922835000039
"['f4', 30, -100, 100, 100, 400, 40000]",4.171853216861745e-23,8.744180361999952
"['f4', 30, -100, 100, 100, 400, 40000]",1.8694382812501582e-17,8.005718283999954
"['f4', 30, -100, 100, 100, 400, 40000]",5.98872923727447e-15,7.941207151999947
"['f4', 30, -100, 100, 100, 400, 40000]",8.072490021200761e-17,7.817585928999961
"['f4', 30, -100, 100, 100, 400, 40000]",6.697974434061021e-18,7.734586594999996
"['f4', 30, -100, 100, 100, 400, 40000]",6.70104874040482e-20,7.705321965000053
"['f4', 30, -100, 100, 100, 400, 40000]",4.715878981479831e-20,8.008687294999959
"['f4', 30, -100, 100, 100, 400, 40000]",5.504095736222966e-22,7.758500099000003
"['f4', 30, -100, 100, 100, 400, 40000]",1.591803343107377e-20,8.853249045999974
"['f4', 30, -100, 100, 100, 400, 40000]",1.4546887696821028e-18,7.93863515999999
"['f4', 30, -100, 100, 100, 400, 40000]",2.5874332804936782e-20,7.730543160000025
"['f4', 30, -100, 100, 100, 400, 40000]",6.84210990689295e-19,8.014648176000037
"['f4', 30, -100, 100, 100, 400, 40000]",9.205986825951702e-18,7.796355916999914
"['f4', 30, -100, 100, 100, 400, 40000]",1.7958806331094418e-20,7.918206650000002
"['f4', 30, -100, 100, 100, 400, 40000]",8.860289255602413e-17,8.156283138000049
"['f4', 50, -100, 100, 150, 400, 60000]",1.7094937987716906e-24,13.467087322999987
