"combination = [fitness_function_name, dimension, range0, range1, population_size, max_ep, function evaluation]",gBest_fitness,total_time
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,22.162828585000003
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,21.859142279999993
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,19.818016539
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,19.321988827
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,19.76153022599999
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,20.417471163000016
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,18.554457130999992
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,22.76997585699999
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,24.359824583999995
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,20.791102765000005
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,20.84118639099998
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,20.70462496700003
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,21.074293845
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,20.13160591999997
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,20.068296108000027
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,20.05309695699998
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,20.869792276999988
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,21.100695365999968
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,21.124770291000004
"['f17', 20, -60, 60, 100, 400, 40000]",0.0,21.175416088999953
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,15.828419739000001
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.706637119000003
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,18.347491339999998
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.708985176
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.601910449000002
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.76006111599999
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,18.368789465999996
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.68416240000002
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.62926742799999
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,18.45946372099999
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.559964543999996
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.658467674999997
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.61373517300001
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,18.468523308999977
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.50912000400001
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,18.466882983000005
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,18.895015804000025
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,18.929646018000028
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.63111582800002
"['f17', 30, -60, 60, 100, 400, 40000]",0.0,17.974353793999967
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,47.292050992
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,41.411704825
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,47.46228157499999
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,41.987777324999996
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,47.95132063599999
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,45.71852669100002
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,46.180085609
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,44.849377296
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,45.85320519200002
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,49.144177094999975
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,48.878637260000005
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,42.827996593999956
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,41.803591364
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,45.93070364700009
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,49.73215829399999
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,50.41398896600003
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,41.052509125999904
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,47.56596414699993
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,47.36691073999998
"['f17', 50, -60, 60, 150, 400, 60000]",0.0,40.752467371999956
"['f17', 100, -60, 60, 200, 500, 100000]",0.0,64.69680599999992
"['f17', 100, -60, 60, 200, 500, 100000]",0.0,63.92348200000015
"['f17', 100, -60, 60, 200, 500, 100000]",0.0,64.11585700000069
