model,mean,std
GSO1(PSO+PSO),-2.85492e+03,3.33253e+02
GSO3(GSO+WOA),-8.37862e+03,3.56263e+00
GSO4(GSO+OMWOA),-8.37931e+03,8.74463e-01
IGSO(GSO+MWOA),-8.37424e+03,8.38337e+00
MWOA,-8.36697e+03,3.56726e+01
