model,mean,std
GSO1(PSO+PSO),5.77161e-01,1.25744e-01
GSO3(GSO+WOA),3.12443e-01,1.56781e-01
GSO4(GSO+OMWOA),2.89126e-01,1.76636e-01
IGSO(GSO+MWOA),5.00000e-01,7.72786e-10
MWOA,1.83052e-01,6.13130e-02
