model,mean,std
GSO1(PSO+PSO),1.82941e+00,6.51419e-01
GSO3(GSO+WOA),5.32480e-01,2.57870e-01
GSO4(GSO+OMWOA),6.60405e-01,2.63524e-01
IGSO(GSO+MWOA),5.63970e-01,2.62292e-01
MWOA,4.21584e-01,2.98517e-01
