model,mean,std
GSO1(PSO+PSO),-6.54664e+01,3.40090e+00
GSO3(GSO+WOA),-7.83307e+01,2.54968e-03
GSO4(GSO+OMWOA),-7.83304e+01,2.75706e-03
IGSO(GSO+MWOA),-7.82263e+01,1.59819e-01
MWOA,-7.83315e+01,1.27036e-03
