model,mean,std
GSO1(PSO+PSO),1.06000e+00,9.09541e-01
GSO3(GSO+WOA),5.19414e-106,1.32371e-105
GSO4(GSO+OMWOA),1.15914e-157,4.60219e-157
IGSO(GSO+MWOA),0.00000e+00,0.00000e+00
MWOA,6.97990e-122,2.88198e-121
