model,mean,std
GSO1(PSO+PSO),9.46320e-03,8.27181e-03
GSO3(GSO+WOA),5.82125e-31,1.86107e-30
GSO4(GSO+OMWOA),6.97585e-95,2.55587e-94
IGSO(GSO+MWOA),0.00000e+00,0.00000e+00
MWOA,3.40446e-30,1.08259e-29
