model,mean,std
GSO1(PSO+PSO),1.48592e+04,1.86754e+04
GSO3(GSO+WOA),1.13047e+10,3.12297e+10
GSO4(GSO+OMWOA),2.04742e+10,3.50138e+10
IGSO(GSO+MWOA),6.55211e+09,2.85600e+10
MWOA,8.79169e-25,2.24565e-24
