model,mean,std
GSO1(PSO+PSO),8.71012e+01,8.63212e+01
GSO3(GSO+WOA),5.93657e-03,6.76269e-03
GSO4(GSO+OMWOA),1.57069e-02,1.11582e-02
IGSO(GSO+MWOA),1.66692e+01,5.44027e+00
MWOA,4.32526e-03,5.05599e-03
