model,mean,std
GSO1(PSO+PSO),5.95605e+01,6.37047e+01
GSO3(GSO+WOA),1.50600e+11,6.56450e+11
GSO4(GSO+OMWOA),1.67829e+11,7.31549e+11
IGSO(GSO+MWOA),0.00000e+00,0.00000e+00
MWOA,1.14466e+11,4.98946e+11
