model,mean,std
GSO1(PSO+PSO),-1.25714e+00,4.51033e-03
GSO3(GSO+WOA),-1.24308e+00,2.16061e-02
GSO4(GSO+OMWOA),-1.25008e+00,1.16554e-02
IGSO(GSO+MWOA),-1.00171e+00,1.28407e-01
MWOA,-1.25872e+00,2.26160e-03
