model,mean,std
GSO1(PSO+PSO),5.39920e-03,4.67824e-03
GSO3(GSO+WOA),1.09980e-04,9.25536e-05
GSO4(GSO+OMWOA),3.63309e-04,3.67943e-04
IGSO(GSO+MWOA),2.32740e-03,3.01501e-03
MWOA,8.32275e-05,8.13425e-05
