model,mean,std
GSO1(PSO+PSO),1.39544e+02,1.12470e+02
GSO3(GSO+WOA),9.94944e-03,9.25099e-03
GSO4(GSO+OMWOA),2.53912e-02,3.21602e-02
IGSO(GSO+MWOA),2.58350e+01,8.40006e+00
MWOA,6.94350e-03,1.20887e-02
