model,mean,std
GSO1(PSO+PSO),-3.59123e+03,4.56334e+02
GSO3(GSO+WOA),-1.25667e+04,5.93533e+00
GSO4(GSO+OMWOA),-1.25691e+04,4.05662e-01
IGSO(GSO+MWOA),-1.24996e+04,1.66344e+02
MWOA,-1.24730e+04,2.57342e+02
