model,mean,std
GSO1(PSO+PSO),2.71364e+00,2.35591e+00
GSO3(GSO+WOA),9.56116e-104,3.74511e-103
GSO4(GSO+OMWOA),1.27309e-158,5.42186e-158
IGSO(GSO+MWOA),0.00000e+00,0.00000e+00
MWOA,4.77212e-124,1.52687e-123
