model,mean,std
GSO1(PSO+PSO),1.82322e+00,1.07966e+00
GSO3(GSO+WOA),2.43749e-104,5.87422e-104
GSO4(GSO+OMWOA),1.37508e-154,5.70555e-154
IGSO(GSO+MWOA),0.00000e+00,0.00000e+00
MWOA,1.38601e-122,3.96189e-122
