model,mean,std
GSO1(PSO+PSO),1.60984e+00,6.57287e-01
GSO3(GSO+WOA),3.72364e-01,1.43815e-01
GSO4(GSO+OMWOA),4.33215e-01,1.16727e-01
IGSO(GSO+MWOA),5.00001e-01,2.78642e-06
MWOA,2.90190e-01,1.28204e-01
