model,mean,std
GSO1(PSO+PSO),4.01946e+04,5.39861e+04
GSO3(GSO+WOA),4.98199e-31,1.48749e-30
GSO4(GSO+OMWOA),6.88962e+18,1.64324e+19
IGSO(GSO+MWOA),0.00000e+00,0.00000e+00
MWOA,8.22370e-33,2.86798e-32
