model,mean,std
GSO1(PSO+PSO),8.16310e+04,4.62977e+04
GSO3(GSO+WOA),1.39779e+10,3.83024e+10
GSO4(GSO+OMWOA),2.96937e+10,4.42849e+10
IGSO(GSO+MWOA),5.88965e+09,2.56724e+10
MWOA,2.26875e-04,9.88926e-04
